[2023-12-20 17:11:33,314][INFO] 
===== CNN_small-0.1-100-small-2023-12-20-17-11-33 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb598daf0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
[2023-12-20 18:00:20,226][INFO] correct1 20
[2023-12-20 18:00:25,874][INFO] correct2 32
[2023-12-20 18:00:31,085][INFO] correct3 1
[2023-12-20 18:00:35,302][INFO] correct1 20
[2023-12-20 18:00:39,737][INFO] correct2 32
[2023-12-20 18:00:44,075][INFO] correct3 1
[2023-12-20 18:00:48,165][INFO] correct1 22
[2023-12-20 18:00:52,677][INFO] correct2 32
[2023-12-20 18:00:57,005][INFO] correct3 2
[2023-12-20 18:01:01,134][INFO] correct1 17
[2023-12-20 18:01:05,551][INFO] correct2 32
[2023-12-20 18:01:09,942][INFO] correct3 3
[2023-12-20 18:01:14,028][INFO] correct1 23
[2023-12-20 18:01:18,530][INFO] correct2 32
[2023-12-20 18:01:22,862][INFO] correct3 3
[2023-12-20 18:01:26,971][INFO] correct1 23
[2023-12-20 18:01:31,424][INFO] correct2 32
[2023-12-20 18:01:35,710][INFO] correct3 5
[2023-12-20 18:01:39,779][INFO] correct1 21
[2023-12-20 18:01:44,200][INFO] correct2 32
[2023-12-20 18:01:48,525][INFO] correct3 4
[2023-12-20 18:01:52,576][INFO] correct1 23
[2023-12-20 18:01:57,090][INFO] correct2 32
[2023-12-20 18:02:01,395][INFO] correct3 5
[2023-12-20 18:02:05,489][INFO] correct1 21
[2023-12-20 18:02:09,912][INFO] correct2 32
[2023-12-20 18:02:14,152][INFO] correct3 10
[2023-12-20 18:02:18,433][INFO] correct1 19
[2023-12-20 18:02:22,981][INFO] correct2 31
[2023-12-20 18:02:27,347][INFO] correct3 5
[2023-12-20 18:02:31,786][INFO] correct1 15
[2023-12-20 18:02:36,238][INFO] correct2 32
[2023-12-20 18:02:40,630][INFO] correct3 2
[2023-12-20 18:02:44,740][INFO] correct1 22
[2023-12-20 18:02:49,233][INFO] correct2 32
[2023-12-20 18:02:53,518][INFO] correct3 1
[2023-12-20 18:02:57,719][INFO] correct1 17
[2023-12-20 18:03:02,156][INFO] correct2 32
[2023-12-20 18:03:06,551][INFO] correct3 2
[2023-12-20 18:03:10,582][INFO] correct1 26
[2023-12-20 18:03:14,883][INFO] correct2 32
[2023-12-20 18:03:19,068][INFO] correct3 9
[2023-12-20 18:03:23,212][INFO] correct1 22
[2023-12-20 18:03:27,543][INFO] correct2 32
[2023-12-20 18:03:31,759][INFO] correct3 6
[2023-12-20 18:03:35,816][INFO] correct1 24
[2023-12-20 18:03:40,270][INFO] correct2 32
[2023-12-20 18:03:44,641][INFO] correct3 4
[2023-12-20 18:03:48,721][INFO] correct1 23
[2023-12-20 18:03:53,104][INFO] correct2 32
[2023-12-20 18:03:57,366][INFO] correct3 6
[2023-12-20 18:04:01,517][INFO] correct1 18
[2023-12-20 18:04:06,048][INFO] correct2 31
[2023-12-20 18:04:10,401][INFO] correct3 4
[2023-12-20 18:04:14,498][INFO] correct1 23
[2023-12-20 18:04:18,910][INFO] correct2 32
[2023-12-20 18:04:23,235][INFO] correct3 4
[2023-12-20 18:04:27,412][INFO] correct1 19
[2023-12-20 18:04:31,966][INFO] correct2 32
[2023-12-20 18:04:36,372][INFO] correct3 3
[2023-12-20 18:04:40,555][INFO] correct1 17
[2023-12-20 18:04:45,045][INFO] correct2 32
[2023-12-20 18:04:49,456][INFO] correct3 2
[2023-12-20 18:04:53,602][INFO] correct1 16
[2023-12-20 18:04:58,294][INFO] correct2 32
[2023-12-20 18:05:02,709][INFO] correct3 2
[2023-12-20 18:05:06,842][INFO] correct1 19
[2023-12-20 18:05:11,310][INFO] correct2 32
[2023-12-20 18:05:15,584][INFO] correct3 1
[2023-12-20 18:05:19,916][INFO] correct1 9
[2023-12-20 18:05:20,335][INFO] correct2 32
[2023-12-20 18:05:20,643][INFO] correct3 0
[2023-12-20 18:05:24,924][INFO] correct1 10
[2023-12-20 18:05:25,331][INFO] correct2 32
[2023-12-20 18:05:26,576][INFO] correct3 0
[2023-12-20 18:05:30,753][INFO] correct1 18
[2023-12-20 18:05:35,220][INFO] correct2 32
[2023-12-20 18:05:39,604][INFO] correct3 2
[2023-12-20 18:05:43,707][INFO] correct1 17
[2023-12-20 18:05:48,084][INFO] correct2 32
[2023-12-20 18:05:52,362][INFO] correct3 1
[2023-12-20 18:05:56,527][INFO] correct1 20
[2023-12-20 18:06:00,924][INFO] correct2 32
[2023-12-20 18:06:05,280][INFO] correct3 1
[2023-12-20 18:06:09,452][INFO] correct1 19
[2023-12-20 18:06:13,803][INFO] correct2 32
[2023-12-20 18:06:18,116][INFO] correct3 4
[2023-12-20 18:06:22,166][INFO] correct1 23
[2023-12-20 18:06:26,499][INFO] correct2 32
[2023-12-20 18:06:30,752][INFO] correct3 7
[2023-12-20 18:06:35,572][INFO] correct1 17
[2023-12-20 18:06:41,632][INFO] correct2 32
[2023-12-20 18:06:46,869][INFO] correct3 4
[2023-12-20 18:06:52,388][INFO] correct1 15
[2023-12-20 18:06:57,887][INFO] correct2 30
[2023-12-20 18:07:02,281][INFO] correct3 3
[2023-12-20 18:07:06,552][INFO] correct1 25
[2023-12-20 18:07:11,012][INFO] correct2 32
[2023-12-20 18:07:15,416][INFO] correct3 5
[2023-12-20 18:07:19,571][INFO] correct1 19
[2023-12-20 18:07:24,080][INFO] correct2 32
[2023-12-20 18:07:28,556][INFO] correct3 2
[2023-12-20 18:07:32,652][INFO] correct1 23
[2023-12-20 18:07:37,083][INFO] correct2 32
[2023-12-20 18:07:41,457][INFO] correct3 1
[2023-12-20 18:07:45,601][INFO] correct1 23
[2023-12-20 18:07:50,041][INFO] correct2 32
[2023-12-20 18:07:54,313][INFO] correct3 3
[2023-12-20 18:07:58,394][INFO] correct1 30
[2023-12-20 18:08:02,809][INFO] correct2 32
[2023-12-20 18:08:07,017][INFO] correct3 7
[2023-12-20 18:08:11,129][INFO] correct1 29
[2023-12-20 18:08:15,448][INFO] correct2 32
[2023-12-20 18:08:19,611][INFO] correct3 7
[2023-12-20 18:08:23,643][INFO] correct1 27
[2023-12-20 18:08:27,989][INFO] correct2 32
[2023-12-20 18:08:32,216][INFO] correct3 6
[2023-12-20 18:08:36,236][INFO] correct1 30
[2023-12-20 18:08:40,597][INFO] correct2 32
[2023-12-20 18:08:44,813][INFO] correct3 7
[2023-12-20 18:08:48,842][INFO] correct1 25
[2023-12-20 18:08:53,187][INFO] correct2 32
[2023-12-20 18:08:57,398][INFO] correct3 8
[2023-12-20 18:09:01,473][INFO] correct1 28
[2023-12-20 18:09:05,859][INFO] correct2 32
[2023-12-20 18:09:10,031][INFO] correct3 8
[2023-12-20 18:09:14,093][INFO] correct1 24
[2023-12-20 18:09:18,551][INFO] correct2 32
[2023-12-20 18:09:22,893][INFO] correct3 2
[2023-12-20 18:09:27,033][INFO] correct1 25
[2023-12-20 18:09:31,468][INFO] correct2 32
[2023-12-20 18:09:35,811][INFO] correct3 4
[2023-12-20 18:09:39,905][INFO] correct1 24
[2023-12-20 18:09:44,397][INFO] correct2 32
[2023-12-20 18:09:48,823][INFO] correct3 1
[2023-12-20 18:09:52,963][INFO] correct1 25
[2023-12-20 18:09:57,549][INFO] correct2 32
[2023-12-20 18:10:01,974][INFO] correct3 2
[2023-12-20 18:10:06,126][INFO] correct1 18
[2023-12-20 18:10:10,547][INFO] correct2 30
[2023-12-20 18:10:14,873][INFO] correct3 1
[2023-12-20 18:10:19,013][INFO] correct1 16
[2023-12-20 18:10:23,468][INFO] correct2 31
[2023-12-20 18:10:27,810][INFO] correct3 3
[2023-12-20 18:10:31,862][INFO] correct1 26
[2023-12-20 18:10:36,151][INFO] correct2 32
[2023-12-20 18:10:40,310][INFO] correct3 11
[2023-12-20 18:10:44,481][INFO] correct1 23
[2023-12-20 18:10:48,770][INFO] correct2 32
[2023-12-20 18:10:53,044][INFO] correct3 9
[2023-12-20 18:10:57,077][INFO] correct1 27
[2023-12-20 18:11:01,436][INFO] correct2 32
[2023-12-20 18:11:05,689][INFO] correct3 5
[2023-12-20 18:11:09,810][INFO] correct1 23
[2023-12-20 18:11:14,029][INFO] correct2 32
[2023-12-20 18:11:18,306][INFO] correct3 9
[2023-12-20 18:11:22,351][INFO] correct1 20
[2023-12-20 18:11:26,728][INFO] correct2 32
[2023-12-20 18:11:31,063][INFO] correct3 2
[2023-12-20 18:11:35,246][INFO] correct1 18
[2023-12-20 18:11:39,590][INFO] correct2 32
[2023-12-20 18:11:43,900][INFO] correct3 7
[2023-12-20 18:11:48,047][INFO] correct1 21
[2023-12-20 18:11:52,501][INFO] correct2 32
[2023-12-20 18:11:56,895][INFO] correct3 2
[2023-12-20 18:12:00,955][INFO] correct1 24
[2023-12-20 18:12:05,424][INFO] correct2 31
[2023-12-20 18:12:09,753][INFO] correct3 1
[2023-12-20 18:12:13,887][INFO] correct1 20
[2023-12-20 18:12:18,357][INFO] correct2 32
[2023-12-20 18:12:22,785][INFO] correct3 2
[2023-12-20 18:12:26,909][INFO] correct1 22
[2023-12-20 18:12:31,337][INFO] correct2 32
[2023-12-20 18:12:35,652][INFO] correct3 4
[2023-12-20 18:12:39,762][INFO] correct1 25
[2023-12-20 18:12:44,242][INFO] correct2 32
[2023-12-20 18:12:48,642][INFO] correct3 5
[2023-12-20 18:12:52,816][INFO] correct1 24
[2023-12-20 18:12:57,395][INFO] correct2 32
[2023-12-20 18:13:02,007][INFO] correct3 3
[2023-12-20 18:13:06,145][INFO] correct1 22
[2023-12-20 18:13:10,573][INFO] correct2 32
[2023-12-20 18:13:14,916][INFO] correct3 6
[2023-12-20 18:13:18,959][INFO] correct1 24
[2023-12-20 18:13:23,495][INFO] correct2 32
[2023-12-20 18:13:27,844][INFO] correct3 4
[2023-12-20 18:13:31,944][INFO] correct1 25
[2023-12-20 18:13:36,370][INFO] correct2 32
[2023-12-20 18:13:40,646][INFO] correct3 4
[2023-12-20 18:13:44,824][INFO] correct1 23
[2023-12-20 18:13:49,315][INFO] correct2 32
[2023-12-20 18:13:53,688][INFO] correct3 2
[2023-12-20 18:13:57,773][INFO] correct1 26
[2023-12-20 18:14:02,136][INFO] correct2 31
[2023-12-20 18:14:06,394][INFO] correct3 6
[2023-12-20 18:14:10,545][INFO] correct1 16
[2023-12-20 18:14:10,931][INFO] correct2 32
[2023-12-20 18:14:11,233][INFO] correct3 0
[2023-12-20 18:14:15,462][INFO] correct1 13
[2023-12-20 18:14:15,869][INFO] correct2 32
[2023-12-20 18:14:16,175][INFO] correct3 0
[2023-12-20 18:14:20,378][INFO] correct1 15
[2023-12-20 18:14:20,792][INFO] correct2 29
[2023-12-20 18:14:21,107][INFO] correct3 0
[2023-12-20 18:14:25,343][INFO] correct1 19
[2023-12-20 18:14:25,747][INFO] correct2 32
[2023-12-20 18:14:26,049][INFO] correct3 0
[2023-12-20 18:14:30,324][INFO] correct1 9
[2023-12-20 18:14:30,718][INFO] correct2 30
[2023-12-20 18:14:31,020][INFO] correct3 0
[2023-12-20 18:14:35,221][INFO] correct1 14
[2023-12-20 18:14:35,626][INFO] correct2 31
[2023-12-20 18:14:35,934][INFO] correct3 0
[2023-12-20 18:14:40,062][INFO] correct1 22
[2023-12-20 18:14:44,477][INFO] correct2 30
[2023-12-20 18:14:48,798][INFO] correct3 2
[2023-12-20 18:14:53,019][INFO] correct1 13
[2023-12-20 18:14:53,441][INFO] correct2 31
[2023-12-20 18:14:53,753][INFO] correct3 0
[2023-12-20 18:14:58,006][INFO] correct1 14
[2023-12-20 18:14:58,409][INFO] correct2 32
[2023-12-20 18:14:58,706][INFO] correct3 0
[2023-12-20 18:15:03,043][INFO] correct1 10
[2023-12-20 18:15:07,558][INFO] correct2 31
[2023-12-20 18:15:11,930][INFO] correct3 1
[2023-12-20 18:15:16,127][INFO] correct1 13
[2023-12-20 18:15:17,503][INFO] correct2 32
[2023-12-20 18:15:18,763][INFO] correct3 0
[2023-12-20 18:15:22,952][INFO] correct1 13
[2023-12-20 18:15:27,305][INFO] correct2 32
[2023-12-20 18:15:31,578][INFO] correct3 1
[2023-12-20 18:15:35,854][INFO] correct1 7
[2023-12-20 18:15:40,297][INFO] correct2 16
[2023-12-20 18:15:44,635][INFO] correct3 3
[2023-12-20 18:15:44,635][INFO] --For testset, out of 10000 items, adv training net ratio 0.5783
[2023-12-20 18:15:44,635][INFO] --For testset, out of 10000 items, repaired net ratio 0.9819
[2023-12-20 18:15:44,635][INFO] --For testset, out of 10000 items, original net ratio 0.0819
[2023-12-20 18:15:44,656][INFO] Total Cost Time: 3851.3429423049092s.



